,A1,A2,E1,E2
188,-0.6087030874075002,-1.650682512684686,1.2004124871007489,8.783974429813673
189,-0.6114420199555408,-1.6518136719532475,1.2134497843224876,8.806725903168752
190,-0.6131256975756951,-1.6524504319309754,1.2220946042130718,8.821975491690178
191,-0.6137839713572871,-1.6526808540645284,1.2256634354102196,8.828312219498402
192,-0.6155659995262758,-1.6532209654809282,1.2361372306136378,8.84706022223861
193,-0.6165835813387086,-1.653436296321052,1.242986862434301,8.859453834791795
194,0.0,0.0,0.0,0.0
195,0.005323963196232337,0.00531394631980004,-0.010599432136135404,-0.020465465146207083
196,0.07523673195528409,0.07715990708198377,-0.14978815688827035,-0.2971639708114954
197,0.16167543892445238,0.16799036603208053,-0.32187822864221294,-0.6469769873508013
198,0.2052883128522289,0.214558254322318,-0.40870672095586047,-0.826322700945994
199,0.3551935390758619,0.378324595805428,-0.7071517352495351,-1.4570318109111915
200,0.46845250251060394,0.5057621252826079,-0.9326380229070055,-1.947828699110945
201,0.5174763994549548,0.5620091987301181,-1.0302392739972868,-2.164451610209452
202,0.6656776141752386,0.7366672599122611,-1.325291786575044,-2.8371077208496684
203,0.7640901133388043,0.8571241877793682,-1.5212203773229915,-3.301020397140358
204,0.8008876714019755,0.9028320644497003,-1.59474304357157,-3.4799657952775864
205,0.9232212088269529,1.063117001691334,-1.8378665435799468,-4.088970872481698
206,0.9672595837398802,1.1227536196661145,-1.9252710692524817,-4.339121935407343
207,0.9704638632670306,1.1273398407020647,-1.9317830670533191,-4.377283048788161
208,0.98022671812073,1.1420326696716336,-1.9522812871444617,-4.498780874456842
209,0.9869514502472476,1.1528474743879626,-1.9669969931192623,-4.5875604658552644
210,0.9897937490805538,1.1576074871581499,-1.973369305309102,-4.626482176020052
211,0.9983905537820658,1.172770046276463,-1.9932233937514203,-4.749912346700699
212,1.004252606355829,1.1838535896155453,-2.0072959199369182,-4.839667451534496
213,1.0067144609701104,1.1887130105588561,-2.013345021623146,-4.878908860762489
